protein,elastic_network,time_ps,rmsd_nm
synaptotagmine1c2b,False,170000.0,1.9206798
synaptotagmine1c2b,False,180000.0,2.2029481
synaptotagmine1c2b,False,190000.0,2.4376962
synaptotagmine1c2b,False,200000.0,2.1677282
synaptotagmine1c2b,False,210000.0,2.0422525
synaptotagmine1c2b,False,220000.0,1.7471485
synaptotagmine1c2b,False,230000.0,1.8211727
synaptotagmine1c2b,False,240000.0,1.8286946
synaptotagmine1c2b,False,250000.0,1.9834374
synaptotagmine1c2b,False,260000.0,1.9217727
synaptotagmine1c2b,False,270000.0,2.0029538
synaptotagmine1c2b,False,280000.0,1.902292
synaptotagmine1c2b,False,290000.0,1.8479357
synaptotagmine1c2b,False,300000.0,2.0746431
synaptotagmine1c2b,False,310000.0,1.9748607
synaptotagmine1c2b,False,320000.0,2.024514
synaptotagmine1c2b,False,330000.0,2.0478513
synaptotagmine1c2b,False,340000.0,1.9091252
synaptotagmine1c2b,False,350000.0,2.1289389
synaptotagmine1c2b,False,360000.0,2.1018298
synaptotagmine1c2b,False,370000.0,1.7793803
synaptotagmine1c2b,False,380000.0,1.8830502
synaptotagmine1c2b,False,390000.0,1.8554658
synaptotagmine1c2b,False,400000.0,1.9088027
synaptotagmine1c2b,False,410000.0,2.0106654
synaptotagmine1c2b,False,420000.0,1.8406677
synaptotagmine1c2b,False,430000.0,1.8990346
synaptotagmine1c2b,False,440000.0,1.769666
synaptotagmine1c2b,False,450000.0,1.7506908
synaptotagmine1c2b,False,460000.0,2.3416829
synaptotagmine1c2b,False,470000.0,2.474771
synaptotagmine1c2b,False,480000.0,2.1785614
synaptotagmine1c2b,False,490000.0,1.8158611
synaptotagmine1c2b,False,500000.0,1.8827707
synaptotagmine1c2b,False,510000.0,1.8622953
synaptotagmine1c2b,False,520000.0,1.9515173
synaptotagmine1c2b,False,530000.0,1.9103981
synaptotagmine1c2b,False,540000.0,1.8499779
synaptotagmine1c2b,False,550000.0,1.7516582
synaptotagmine1c2b,False,560000.0,1.8165596
synaptotagmine1c2b,False,570000.0,1.9964775
synaptotagmine1c2b,False,580000.0,1.8326265
synaptotagmine1c2b,False,590000.0,1.936367
synaptotagmine1c2b,False,600000.0,1.9894831
synaptotagmine1c2b,False,610000.0,1.9951754
synaptotagmine1c2b,False,620000.0,1.8826622
synaptotagmine1c2b,False,630000.0,1.9138443
synaptotagmine1c2b,False,640000.0,1.9095658
synaptotagmine1c2b,False,650000.0,1.9773495
synaptotagmine1c2b,False,660000.0,2.1043475
synaptotagmine1c2b,False,670000.0,2.0943048
synaptotagmine1c2b,False,680000.0,2.2257431
synaptotagmine1c2b,False,690000.0,2.1479099
synaptotagmine1c2b,False,700000.0,2.1381691
synaptotagmine1c2b,False,710000.0,1.9810715
synaptotagmine1c2b,False,720000.0,1.7625991
synaptotagmine1c2b,False,730000.0,1.7762934
synaptotagmine1c2b,False,740000.0,1.8450444
synaptotagmine1c2b,False,750000.0,2.1841605
synaptotagmine1c2b,False,760000.0,2.039175
synaptotagmine1c2b,False,770000.0,1.9214368
synaptotagmine1c2b,False,780000.0,1.9585038
synaptotagmine1c2b,False,790000.0,2.1769569
synaptotagmine1c2b,False,800000.0,2.2684786
synaptotagmine1c2b,False,810000.0,1.7681923
synaptotagmine1c2b,False,820000.0,1.6920543
synaptotagmine1c2b,False,830000.0,1.9421865
synaptotagmine1c2b,False,840000.0,2.1325021
synaptotagmine1c2b,False,850000.0,2.0107419
synaptotagmine1c2b,False,860000.0,2.1872842
synaptotagmine1c2b,False,870000.0,2.4587104
synaptotagmine1c2b,False,880000.0,3.0846403
synaptotagmine1c2b,False,890000.0,2.7750695
synaptotagmine1c2b,False,900000.0,3.391396
synaptotagmine1c2b,False,910000.0,3.0192626
synaptotagmine1c2b,False,920000.0,3.6297715
synaptotagmine1c2b,False,930000.0,3.5278742
synaptotagmine1c2b,False,940000.0,2.8603418
synaptotagmine1c2b,False,950000.0,3.2876389
synaptotagmine1c2b,False,960000.0,2.7742841
synaptotagmine1c2b,False,970000.0,2.8015366
synaptotagmine1c2b,False,980000.0,2.9173298
synaptotagmine1c2b,False,990000.0,2.5200095
synaptotagmine1c2b,False,1000000.0,2.0545082
